ID,SciName,Name,Total,IdUbication,Ubication,Lat,Long,Date
OBS1701516048,Calidris alpina,Dunlin,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701536994,Saxicola rubicola,European Stonechat,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951452,Actitis hypoleucos,Common Sandpiper,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054660,Charadrius dubius,Little Ringed Plover,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947871,Plegadis falcinellus,Glossy Ibis,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701536998,Cisticola juncidis,Zitting Cisticola,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947870,Delichon urbicum,Common House-Martin,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054650,Larus michahellis,Yellow-legged Gull,10,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548954,Himantopus himantopus,Black-winged Stilt,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516032,Egretta garzetta,Little Egret,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947882,Charadrius dubius,Little Ringed Plover,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947879,Corvus monedula,Eurasian Jackdaw,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054678,Aythya ferina,Common Pochard,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548945,Apus apus/pallidus,Common/Pallid Swift,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054665,Arenaria interpres,Ruddy Turnstone,10,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951460,Chlidonias niger,Black Tern,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951462,Tadorna tadorna,Common Shelduck,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516056,Gelochelidon nilotica,Gull-billed Tern,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951467,Luscinia megarhynchos,Common Nightingale,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951468,Pica pica,Eurasian Magpie,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548944,Calidris ferruginea,Curlew Sandpiper,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054662,Falco tinnunculus,Eurasian Kestrel,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054645,Charadrius alexandrinus,Kentish Plover,8,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947881,Circus pygargus,Montagu's Harrier,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516049,Actitis hypoleucos,Common Sandpiper,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951465,Arenaria interpres,Ruddy Turnstone,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054672,Hirundo rustica,Barn Swallow,40,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516041,Calidris temminckii,Temminck's Stint,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947867,Anas platyrhynchos,Mallard,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548937,Cisticola juncidis,Zitting Cisticola,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516039,Calidris minuta,Little Stint,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516055,Phoenicopterus roseus,Greater Flamingo,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951464,Podiceps cristatus,Great Crested Grebe,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947878,Acrocephalus scirpaceus,Common Reed Warbler,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548947,Calidris alba,Sanderling,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054667,Anas platyrhynchos,Mallard,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054666,Actitis hypoleucos,Common Sandpiper,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701536997,Circus pygargus,Montagu's Harrier,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516042,Charadrius alexandrinus,Kentish Plover,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054655,Phalacrocorax carbo,Great Cormorant,9,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548938,Actitis hypoleucos,Common Sandpiper,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951466,Thalasseus sandvicensis,Sandwich Tern,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054661,Chroicocephalus genei,Slender-billed Gull,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548952,Plegadis falcinellus,Glossy Ibis,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947874,Myiopsitta monachus,Monk Parakeet,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054671,Tadorna tadorna,Common Shelduck,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516057,Tringa nebularia,Common Greenshank,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054651,Calidris alba,Sanderling,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054653,Gelochelidon nilotica,Gull-billed Tern,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054652,Himantopus himantopus,Black-winged Stilt,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951457,Charadrius alexandrinus,Kentish Plover,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947868,Ardea alba,Great Egret,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054676,Columba palumbus,Common Wood-Pigeon,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054658,Ichthyaetus audouinii,Audouin's Gull,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516036,Nycticorax nycticorax,Black-crowned Night-Heron,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054659,Ardea cinerea,Gray Heron,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516034,Podiceps cristatus,Great Crested Grebe,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548949,Ardea cinerea,Gray Heron,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548941,Nycticorax nycticorax,Black-crowned Night-Heron,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701536996,Bubulcus ibis,Cattle Egret,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548946,Anas platyrhynchos,Mallard,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516040,Glareola pratincola,Collared Pratincole,50,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951453,Glareola pratincola,Collared Pratincole,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516033,Larus michahellis,Yellow-legged Gull,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516052,Ardea alba,Great Egret,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054668,Pluvialis squatarola,Black-bellied Plover,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516058,Calidris ferruginea,Curlew Sandpiper,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701536995,Hirundo rustica,Barn Swallow,15,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548953,Bubulcus ibis,Cattle Egret,10,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516046,Pluvialis squatarola,Black-bellied Plover,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951458,Tringa nebularia,Common Greenshank,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548951,Falco tinnunculus,Eurasian Kestrel,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947869,Circus aeruginosus,Eurasian Marsh-Harrier,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054679,Tringa glareola,Wood Sandpiper,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951459,Merops apiaster,European Bee-eater,15,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951456,Hirundo rustica,Barn Swallow,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548942,Arenaria interpres,Ruddy Turnstone,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701548950,Sternula albifrons,Little Tern,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951455,Sternula albifrons,Little Tern,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951454,Tringa totanus,Common Redshank,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516047,Tadorna tadorna,Common Shelduck,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054673,Curruca melanocephala,Sardinian Warbler,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516051,Calidris alba,Sanderling,6,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700947866,Cisticola juncidis,Zitting Cisticola,12,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054677,Tringa nebularia,Common Greenshank,1,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951461,Acrocephalus arundinaceus,Great Reed Warbler,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1700951463,Aythya ferina,Common Pochard,5,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701516038,Ichthyaetus audouinii,Audouin's Gull,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054647,Galerida cristata,Crested Lark,3,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054649,Passer domesticus,House Sparrow,4,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701054663,Tringa totanus,Common Redshank,2,L5171766,Marina del Carmolí,377.016.827,-0.8547020,28/04/2023
OBS1701553104,Chroicocephalus ridibundus,Black-headed Gull,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553095,Hydroprogne caspia,Caspian Tern,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553108,Calidris alba,Sanderling,6,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
OBS1701553115,Charadrius dubius,Little Ringed Plover,1,L5237105,Mar Menor,377.232.070,-0.7873249,28/04/2023
